year,journal,doi,arxiv number,primary arxiv category,total number of authors,total number of ORCIDs linked to the authors,total number of affiliations,total number of ROR linked with the affiliations,"total number of related materials, type dataset","total number of related materials, type software"
2024,European Physical Journal C,10.1140/epjc/s10052-024-13228-0,2311.13322,hep-ex,1058,0,1109,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13448-4,,,3,0,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)124,2402.17023,hep-th,1,1,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)125,2409.02160,hep-th,3,3,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)129,2404.06576,hep-th,2,1,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)127,2406.12691,hep-ph,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)128,2407.05831,hep-ph,3,2,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)130,2401.04742,hep-ex,2878,0,3065,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13436-8,,,2,2,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)137,2407.09325,hep-ph,5,5,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13362-9,,,4,0,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)155,2401.07885,hep-ex,12,7,18,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)165,2404.09609,hep-ph,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)164,2404.08062,hep-ph,5,4,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13215-5,,,2919,0,3217,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)161,2403.17049,hep-th,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)167,2408.05201,hep-th,4,4,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)172,2404.08032,hep-ph,2,2,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)176,2407.12913,hep-ph,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)186,2406.16460,hep-ph,4,4,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13499-7,,,3,0,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)199,2408.04422,hep-ex,668,0,968,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)219,2404.12446,hep-th,4,4,8,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)222,2408.08674,hep-th,1,1,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)217,2406.06704,hep-th,2,1,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)216,2407.09597,hep-th,4,4,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)208,2406.04042,hep-th,3,3,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)252,2409.09110,hep-ph,4,0,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13513-y,,,1,1,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13479-x,,,2,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13721-6,,,5,1,12,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)240,2408.09455,hep-th,1,1,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)243,2408.12735,hep-ph,3,3,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)246,2407.17969,hep-ph,4,4,8,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)150,2405.06741,hep-ph,3,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)146,2406.19355,gr-qc,5,5,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)142,2402.13889,hep-th,2,2,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)140,2408.04005,hep-th,2,2,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)137,2402.10471,hep-ph,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)139,2110.02255,hep-th,1,1,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)135,2404.07591,math.AG,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)136,2409.08879,hep-ph,9,9,18,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)134,2410.01873,hep-ph,4,4,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)147,2409.12629,hep-ex,1140,0,1315,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)111,2405.03683,hep-th,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)209,2404.02711,hep-ex,2366,0,2588,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)206,2408.07015,hep-ex,262,1,325,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)030,2405.19416,hep-th,3,3,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)031,2407.09263,hep-ph,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)037,2408.15830,hep-ph,2,2,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)010,2408.02953,hep-th,4,4,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)057,2406.09259,hep-th,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)062,2409.00427,hep-ex,672,0,976,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)060,2312.12527,hep-ph,4,4,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)032,2407.17525,hep-ph,3,3,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13515-w,,,65,0,75,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)075,2407.13823,hep-th,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)073,2406.13314,hep-th,3,3,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)078,2407.06582,hep-th,2,1,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)074,2409.12942,hep-ph,8,8,10,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)120,2409.16731,hep-ph,3,3,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)130,2405.19404,hep-ph,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)115,2401.06700,nlin.PS,5,5,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP12(2024)112,2409.11732,hep-th,1,1,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)247,2407.13441,hep-ex,2391,0,2607,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)077,2404.12425,hep-ph,6,6,8,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)085,2401.07866,hep-th,3,1,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)080,2409.02870,hep-ph,4,4,5,0,0,0
